"Designator","Mid X","Mid Y","Layer","Rotation"
"R13","46.444mm","-149.0475mm","bottom","90.0"
"R14","44.92mm","-149.0475mm","bottom","90.0"
"R12","42.253mm","-157.1755mm","bottom","180.0"
"R11","45.682mm","-153.6195mm","bottom","-0.0"
"U2","55.499mm","-148.2725mm","bottom","90.0"
"D5","42.253mm","-154.6355mm","bottom","180.0"
"Q2","45.682mm","-156.1595mm","bottom","0.0"
"Q3","42.253mm","-149.0475mm","bottom","0.0"
"J6","38.3795mm","-148.1585mm","bottom","90.0"
"J4","38.3795mm","-150mm","bottom","90.0"
"C12","42.2505mm","-151.8415mm","bottom","0.0"
"J2","38.3795mm","-146.317mm","bottom","90.0"
"J1","38.3795mm","-144.4755mm","bottom","90.0"
"J3","50mm","-156.75mm","bottom","270.0"
"J8","38.3795mm","-153.683mm","bottom","90.0"
"J7","38.3795mm","-155.5245mm","bottom","90.0"
"J5","38.3795mm","-151.8415mm","bottom","90.0"
